pool,id,num_layers,pooling_edges,dataset,reward,seed,pooling_nodes,conv,K
LookHops,hJkSJ,3,0.5,FRANKENSTEIN,0.6413793103448275,33,0.881023822,LiCheb,4
LookHops,I2FoF,3,0.5,FRANKENSTEIN,0.6413793103448275,44,0.881023822,LiCheb,4
LookHops,HOxCC,3,0.5,FRANKENSTEIN,0.664367816091954,55,0.881023822,LiCheb,4
LookHops,M7jb3,3,0.5,FRANKENSTEIN,0.6620689655172414,66,0.881023822,LiCheb,4
LookHops,srxA3,3,0.5,FRANKENSTEIN,0.6114942528735632,77,0.881023822,LiCheb,4
LookHops,nsaFR,3,0.5,FRANKENSTEIN,0.6551724137931034,88,0.881023822,LiCheb,4
LookHops,H927Z,3,0.5,FRANKENSTEIN,0.664367816091954,99,0.881023822,LiCheb,4
LookHops,wungJ,3,0.5,FRANKENSTEIN,0.6689655172413793,110,0.881023822,LiCheb,4
LookHops,J223x,3,0.6,FRANKENSTEIN,0.6827586206896552,11,0.881023822,LiCheb,4
LookHops,WWmyr,3,0.6,FRANKENSTEIN,0.6735632183908046,22,0.881023822,LiCheb,4
LookHops,Mwb2m,3,0.6,FRANKENSTEIN,0.6367816091954023,33,0.881023822,LiCheb,4
LookHops,arZXM,3,0.6,FRANKENSTEIN,0.6528735632183909,44,0.881023822,LiCheb,4
LookHops,lc9IY,3,0.6,FRANKENSTEIN,0.6781609195402298,55,0.881023822,LiCheb,4
LookHops,GL0rC,3,0.6,FRANKENSTEIN,0.6459770114942529,66,0.881023822,LiCheb,4
LookHops,mnHAH,3,0.6,FRANKENSTEIN,0.6114942528735632,77,0.881023822,LiCheb,4
LookHops,evCI2,3,0.6,FRANKENSTEIN,0.671264367816092,88,0.881023822,LiCheb,4
LookHops,YHLG9,3,0.6,FRANKENSTEIN,0.6597701149425287,99,0.881023822,LiCheb,4
LookHops,zYWTG,3,0.6,FRANKENSTEIN,0.6574712643678161,110,0.881023822,LiCheb,4
LookHops,rxsBx,3,0.7,FRANKENSTEIN,0.5954022988505747,11,0.881023822,LiCheb,4
LookHops,Qbx0C,3,0.7,FRANKENSTEIN,0.6735632183908046,22,0.881023822,LiCheb,4
LookHops,eJo6u,3,0.7,FRANKENSTEIN,0.632183908045977,33,0.881023822,LiCheb,4
LookHops,LJJWT,3,0.7,FRANKENSTEIN,0.639080459770115,44,0.881023822,LiCheb,4
LookHops,Z2ClZ,3,0.7,FRANKENSTEIN,0.6620689655172414,55,0.881023822,LiCheb,4
LookHops,C0Qkw,3,0.7,FRANKENSTEIN,0.6160919540229886,66,0.881023822,LiCheb,4
LookHops,ffLiP,3,0.7,FRANKENSTEIN,0.6137931034482759,77,0.881023822,LiCheb,4
LookHops,pUbrw,3,0.7,FRANKENSTEIN,0.6735632183908046,88,0.881023822,LiCheb,4
LookHops,I7gZe,3,0.7,FRANKENSTEIN,0.6505747126436782,99,0.881023822,LiCheb,4
LookHops,BHIrp,3,0.7,FRANKENSTEIN,0.6482758620689655,110,0.881023822,LiCheb,4
LookHops,RQrCT,3,0.8,FRANKENSTEIN,0.6666666666666666,11,0.881023822,LiCheb,4
LookHops,KkToM,3,0.8,FRANKENSTEIN,0.6666666666666666,22,0.881023822,LiCheb,4
LookHops,lD0TK,3,0.8,FRANKENSTEIN,0.6344827586206897,33,0.881023822,LiCheb,4
LookHops,TdqY4,3,0.8,FRANKENSTEIN,0.6574712643678161,44,0.881023822,LiCheb,4
LookHops,YGSRX,3,0.8,FRANKENSTEIN,0.6735632183908046,55,0.881023822,LiCheb,4
LookHops,Kl39x,3,0.8,FRANKENSTEIN,0.6528735632183909,66,0.881023822,LiCheb,4
LookHops,Y95TP,3,0.8,FRANKENSTEIN,0.6206896551724138,77,0.881023822,LiCheb,4
LookHops,PatoR,3,0.8,FRANKENSTEIN,0.6781609195402298,88,0.881023822,LiCheb,4
LookHops,ojff0,3,0.8,FRANKENSTEIN,0.6482758620689655,99,0.881023822,LiCheb,4
LookHops,iVkVZ,3,0.8,FRANKENSTEIN,0.6620689655172414,110,0.881023822,LiCheb,4
LookHops,FPfyu,3,0.9,FRANKENSTEIN,0.5908045977011495,11,0.881023822,LiCheb,4
LookHops,XoaIg,3,0.9,FRANKENSTEIN,0.6620689655172414,22,0.881023822,LiCheb,4
LookHops,fpndd,3,0.9,FRANKENSTEIN,0.6413793103448275,33,0.881023822,LiCheb,4
LookHops,X8Z9p,3,0.9,FRANKENSTEIN,0.6114942528735632,44,0.881023822,LiCheb,4
LookHops,LoA2H,3,0.9,FRANKENSTEIN,0.6528735632183909,55,0.881023822,LiCheb,4
LookHops,snQWZ,3,0.9,FRANKENSTEIN,0.6620689655172414,66,0.881023822,LiCheb,4
LookHops,T4jAR,3,0.9,FRANKENSTEIN,0.6367816091954023,77,0.881023822,LiCheb,4
LookHops,oBNA4,3,0.9,FRANKENSTEIN,0.671264367816092,88,0.881023822,LiCheb,4
LookHops,CQtPo,3,0.9,FRANKENSTEIN,0.6597701149425287,99,0.881023822,LiCheb,4
LookHops,y9jAu,3,0.9,FRANKENSTEIN,0.6666666666666666,110,0.881023822,LiCheb,4
