K,pooling_nodes,pool,id,seed,dataset,conv,pooling_edges,num_layers,reward
2,0.426631657,LookHops,mj0KF,99,Mutagenicity,LiCheb,0.4,2,0.6574712643678161
2,0.426631657,LookHops,tkrkc,110,Mutagenicity,LiCheb,0.4,2,0.767816091954023
2,0.426631657,LookHops,DT84E,11,Mutagenicity,LiCheb,0.5,2,0.6735632183908046
2,0.426631657,LookHops,Eg3sq,22,Mutagenicity,LiCheb,0.5,2,0.6827586206896552
2,0.426631657,LookHops,pKm36,33,Mutagenicity,LiCheb,0.5,2,0.8091954022988506
2,0.426631657,LookHops,zPirM,44,Mutagenicity,LiCheb,0.5,2,0.6620689655172414
2,0.426631657,LookHops,Zks0A,55,Mutagenicity,LiCheb,0.5,2,0.8459770114942529
2,0.426631657,LookHops,A2NoA,66,Mutagenicity,LiCheb,0.5,2,0.8229885057471265
2,0.426631657,LookHops,TjZdI,77,Mutagenicity,LiCheb,0.5,2,0.6919540229885057
2,0.426631657,LookHops,tM5Tn,88,Mutagenicity,LiCheb,0.5,2,0.7310344827586207
2,0.426631657,LookHops,Ga6He,99,Mutagenicity,LiCheb,0.5,2,0.6850574712643678
2,0.426631657,LookHops,lAuJ8,110,Mutagenicity,LiCheb,0.5,2,0.7609195402298851
2,0.426631657,LookHops,KFaS0,11,Mutagenicity,LiCheb,0.6,2,0.6666666666666666
2,0.426631657,LookHops,DUt8D,22,Mutagenicity,LiCheb,0.6,2,0.6781609195402298
2,0.426631657,LookHops,TOMea,33,Mutagenicity,LiCheb,0.6,2,0.7908045977011494
2,0.426631657,LookHops,snmI1,44,Mutagenicity,LiCheb,0.6,2,0.664367816091954
2,0.426631657,LookHops,gEA3c,55,Mutagenicity,LiCheb,0.6,2,0.832183908045977
2,0.426631657,LookHops,hLPA4,66,Mutagenicity,LiCheb,0.6,2,0.7908045977011494
2,0.426631657,LookHops,mAsUt,77,Mutagenicity,LiCheb,0.6,2,0.6988505747126437
2,0.426631657,LookHops,ExjY4,88,Mutagenicity,LiCheb,0.6,2,0.735632183908046
2,0.426631657,LookHops,sORsz,99,Mutagenicity,LiCheb,0.6,2,0.6873563218390805
2,0.426631657,LookHops,l67Un,110,Mutagenicity,LiCheb,0.6,2,0.767816091954023
2,0.426631657,LookHops,p3p4d,11,Mutagenicity,LiCheb,0.7,2,0.696551724137931
2,0.426631657,LookHops,L2rjb,22,Mutagenicity,LiCheb,0.7,2,0.6919540229885057
2,0.426631657,LookHops,IhgP3,33,Mutagenicity,LiCheb,0.7,2,0.7770114942528735
2,0.426631657,LookHops,ZyQ4s,44,Mutagenicity,LiCheb,0.7,2,0.6942528735632184
2,0.426631657,LookHops,qGWIQ,55,Mutagenicity,LiCheb,0.7,2,0.8367816091954023
2,0.426631657,LookHops,fNqIK,66,Mutagenicity,LiCheb,0.7,2,0.7908045977011494
2,0.426631657,LookHops,FNtWF,77,Mutagenicity,LiCheb,0.7,2,0.6896551724137931
2,0.426631657,LookHops,MGO6G,88,Mutagenicity,LiCheb,0.7,2,0.7379310344827587
2,0.426631657,LookHops,ewhDm,99,Mutagenicity,LiCheb,0.7,2,0.6896551724137931
2,0.426631657,LookHops,yOVx4,110,Mutagenicity,LiCheb,0.7,2,0.7885057471264367
2,0.426631657,LookHops,ansWb,11,Mutagenicity,LiCheb,0.8,2,0.6827586206896552
2,0.426631657,LookHops,fApq4,22,Mutagenicity,LiCheb,0.8,2,0.6850574712643678
2,0.426631657,LookHops,Wp1On,33,Mutagenicity,LiCheb,0.8,2,0.7931034482758621
2,0.426631657,LookHops,ZCLEG,44,Mutagenicity,LiCheb,0.8,2,0.728735632183908
2,0.426631657,LookHops,o9RIk,55,Mutagenicity,LiCheb,0.8,2,0.8436781609195402
2,0.426631657,LookHops,GeQHK,66,Mutagenicity,LiCheb,0.8,2,0.7977011494252874
2,0.426631657,LookHops,M0hGX,77,Mutagenicity,LiCheb,0.8,2,0.696551724137931
2,0.426631657,LookHops,OLrMp,88,Mutagenicity,LiCheb,0.8,2,0.767816091954023
2,0.426631657,LookHops,PqKVR,99,Mutagenicity,LiCheb,0.8,2,0.6804597701149425
2,0.426631657,LookHops,iYrTV,110,Mutagenicity,LiCheb,0.8,2,0.7770114942528735
2,0.426631657,LookHops,mIeuI,11,Mutagenicity,LiCheb,0.9,2,0.7080459770114943
2,0.426631657,LookHops,FXFVN,22,Mutagenicity,LiCheb,0.9,2,0.6804597701149425
2,0.426631657,LookHops,Qz6HD,33,Mutagenicity,LiCheb,0.9,2,0.8045977011494253
2,0.426631657,LookHops,J9Gf0,44,Mutagenicity,LiCheb,0.9,2,0.6574712643678161
2,0.426631657,LookHops,oOU2o,55,Mutagenicity,LiCheb,0.9,2,0.8390804597701149
2,0.426631657,LookHops,cgjDj,66,Mutagenicity,LiCheb,0.9,2,0.774712643678161
2,0.426631657,LookHops,QaBXi,77,Mutagenicity,LiCheb,0.9,2,0.6873563218390805
2,0.426631657,LookHops,yeiYy,88,Mutagenicity,LiCheb,0.9,2,0.7517241379310344
2,0.426631657,LookHops,l2xjk,99,Mutagenicity,LiCheb,0.9,2,0.7034482758620689
2,0.426631657,LookHops,SZuOF,110,Mutagenicity,LiCheb,0.9,2,0.7655172413793103
