K,pooling_nodes,pooling_edges,conv,reward,seed,num_layers,id,dataset,pool
3,0.632026586,0.3,LiCheb,0.7785888077858881,66,5,MQGPY,NCI1,LookHops
3,0.632026586,0.3,LiCheb,0.7566909975669099,77,5,q5XMh,NCI1,LookHops
3,0.632026586,0.3,LiCheb,0.7177615571776156,88,5,RbIYJ,NCI1,LookHops
3,0.632026586,0.3,LiCheb,0.7153284671532847,99,5,DeqNp,NCI1,LookHops
3,0.632026586,0.3,LiCheb,0.7639902676399026,110,5,qIlh5,NCI1,LookHops
3,0.632026586,0.4,LiCheb,0.7128953771289538,11,5,H1Oon,NCI1,LookHops
3,0.632026586,0.4,LiCheb,0.7420924574209246,22,5,VMCU0,NCI1,LookHops
3,0.632026586,0.4,LiCheb,0.7347931873479319,33,5,ZqeWk,NCI1,LookHops
3,0.632026586,0.4,LiCheb,0.8102189781021898,44,5,YHmAi,NCI1,LookHops
3,0.632026586,0.4,LiCheb,0.7712895377128953,55,5,CV8FR,NCI1,LookHops
3,0.632026586,0.4,LiCheb,0.7664233576642335,66,5,PnIOp,NCI1,LookHops
3,0.632026586,0.4,LiCheb,0.7834549878345499,77,5,lZ6pF,NCI1,LookHops
3,0.632026586,0.4,LiCheb,0.7785888077858881,88,5,hLZQt,NCI1,LookHops
3,0.632026586,0.4,LiCheb,0.732360097323601,99,5,pf03y,NCI1,LookHops
3,0.632026586,0.4,LiCheb,0.7858880778588808,110,5,TWp7s,NCI1,LookHops
3,0.632026586,0.5,LiCheb,0.6982968369829684,11,5,P52v6,NCI1,LookHops
3,0.632026586,0.5,LiCheb,0.7834549878345499,22,5,EBGVB,NCI1,LookHops
3,0.632026586,0.5,LiCheb,0.7201946472019465,33,5,omLGO,NCI1,LookHops
3,0.632026586,0.5,LiCheb,0.7980535279805353,44,5,wYhlD,NCI1,LookHops
3,0.632026586,0.5,LiCheb,0.7737226277372263,55,5,afwsZ,NCI1,LookHops
3,0.632026586,0.5,LiCheb,0.7347931873479319,66,5,GdpH5,NCI1,LookHops
3,0.632026586,0.5,LiCheb,0.7615571776155717,77,5,jbTuB,NCI1,LookHops
3,0.632026586,0.5,LiCheb,0.7493917274939172,88,5,n6JAu,NCI1,LookHops
3,0.632026586,0.5,LiCheb,0.7347931873479319,99,5,auSs1,NCI1,LookHops
3,0.632026586,0.5,LiCheb,0.7712895377128953,110,5,HtJM3,NCI1,LookHops
3,0.632026586,0.6,LiCheb,0.7250608272506083,11,5,XWNLc,NCI1,LookHops
3,0.632026586,0.6,LiCheb,0.7834549878345499,22,5,j0eWD,NCI1,LookHops
3,0.632026586,0.6,LiCheb,0.7518248175182481,33,5,lqAyv,NCI1,LookHops
3,0.632026586,0.6,LiCheb,0.7445255474452555,44,5,fKc1s,NCI1,LookHops
3,0.632026586,0.6,LiCheb,0.7712895377128953,55,5,bPumx,NCI1,LookHops
3,0.632026586,0.6,LiCheb,0.7712895377128953,66,5,gGN9X,NCI1,LookHops
3,0.632026586,0.6,LiCheb,0.7737226277372263,77,5,hZgxQ,NCI1,LookHops
3,0.632026586,0.6,LiCheb,0.7250608272506083,88,5,XZfua,NCI1,LookHops
3,0.632026586,0.6,LiCheb,0.7420924574209246,99,5,ZRMxu,NCI1,LookHops
3,0.632026586,0.6,LiCheb,0.7591240875912408,110,5,fTmjk,NCI1,LookHops
3,0.632026586,0.7,LiCheb,0.6861313868613139,11,5,NImWK,NCI1,LookHops
3,0.632026586,0.7,LiCheb,0.7737226277372263,22,5,qQKQs,NCI1,LookHops
3,0.632026586,0.7,LiCheb,0.6982968369829684,33,5,CHiZk,NCI1,LookHops
3,0.632026586,0.7,LiCheb,0.8029197080291971,44,5,cVpwo,NCI1,LookHops
3,0.632026586,0.7,LiCheb,0.7737226277372263,55,5,iYDOx,NCI1,LookHops
3,0.632026586,0.7,LiCheb,0.754257907542579,66,5,v8QUd,NCI1,LookHops
3,0.632026586,0.7,LiCheb,0.7566909975669099,77,5,pRtax,NCI1,LookHops
3,0.632026586,0.7,LiCheb,0.7518248175182481,88,5,RmtoK,NCI1,LookHops
3,0.632026586,0.7,LiCheb,0.7518248175182481,99,5,k9YjJ,NCI1,LookHops
3,0.632026586,0.7,LiCheb,0.7664233576642335,110,5,f743P,NCI1,LookHops
3,0.632026586,0.8,LiCheb,0.7201946472019465,11,5,jCt5e,NCI1,LookHops
3,0.632026586,0.8,LiCheb,0.754257907542579,22,5,zxNo2,NCI1,LookHops
3,0.632026586,0.8,LiCheb,0.7493917274939172,33,5,rGStA,NCI1,LookHops
3,0.632026586,0.8,LiCheb,0.7250608272506083,44,5,sWssB,NCI1,LookHops
3,0.632026586,0.8,LiCheb,0.7664233576642335,55,5,jrlU6,NCI1,LookHops
3,0.632026586,0.8,LiCheb,0.7299270072992701,66,5,HLmjf,NCI1,LookHops
