dataset,lr,dropout_ratio,weight_decay,edge_ratio,K,batch_size,pooling_ratio,id,reward,num_layers
NCI1,0.001,0,0,0.517717681710758,2,256,0.5029028543197903,L7kkw,0.781021897810219,2
NCI1,0.001,0,0,0.2330294158241852,3,256,0.13014491155389596,Wa0gh,0.7031630170316302,4
NCI1,0.001,0,0,0.9680268560414773,4,256,0.12276259287743888,lZgSP,0.7031630170316302,3
NCI1,0.001,0,0,0.647094904530165,1,256,0.25111413176046427,gn2Ra,0.5815085158150851,4
NCI1,0.001,0,0,0.5906592355263376,3,256,0.41631495091600745,sirOR,0.7177615571776156,5
NCI1,0.001,0,0,0.3203472965079557,2,256,0.37182474328346926,bGlwE,0.7469586374695864,2
NCI1,0.001,0,0,0.9055288230821248,4,256,0.8436586246808604,BfHdk,0.7639902676399026,4
NCI1,0.001,0,0,0.5187440248025907,1,256,0.5222708882544043,o5In9,0.48661800486618007,3
NCI1,0.001,0,0,0.2842631540290037,2,256,0.2944585677084566,mFImm,0.7493917274939172,6
NCI1,0.001,0,0,0.8059186515977506,3,256,0.564526594897981,fdjL8,0.8004866180048662,5
NCI1,0.001,0,0,0.9625658428307131,1,256,0.5723915360820375,HMhyt,0.5279805352798054,3
NCI1,0.001,0,0,0.4286398738348083,3,256,0.4060051062798601,NE70j,0.7469586374695864,3
NCI1,0.001,0,0,0.29151632281487017,1,256,0.8912628329161058,kkWWD,0.6228710462287105,4
NCI1,0.001,0,0,0.636985836997459,4,256,0.8952194363468524,Sdngq,0.7639902676399026,4
NCI1,0.001,0,0,0.6118901864479537,4,256,0.5127278823262746,E56PO,0.7299270072992701,4
NCI1,0.001,0,0,0.6423770964412081,4,256,0.48152961702649416,KkJgT,0.7104622871046229,4
NCI1,0.001,0,0,0.6450171409593837,4,256,0.47908799827292103,bUzr3,0.754257907542579,4
NCI1,0.001,0,0,0.6259590071972081,4,256,0.5057468371114875,MiMKu,0.7299270072992701,4
NCI1,0.001,0,0,0.637710995897441,4,256,0.8919971431511375,XE5SP,0.781021897810219,4
NCI1,0.001,0,0,0.6452355376343584,2,256,0.48054687164496174,GqC2S,0.7055961070559611,5
