batch_size,lr,K,num_layers,dropout_ratio,reward,id,dataset,weight_decay,pooling_ratio,edge_ratio
256,0.001,1,6,0,0.680672268907563,oD9Eo,DD,0,0.4426184773183376,0.3898747152866017
256,0.001,1,4,0,0.680672268907563,TQsJE,DD,0,0.4415842547083225,0.4785577927808599
256,0.001,1,5,0,0.7058823529411765,E01uu,DD,0,0.3760038355472489,0.6736926899164297
256,0.001,4,3,0,0.8067226890756303,DXPpR,DD,0,0.8752282916355725,0.2510257387946821
256,0.001,2,3,0,0.7310924369747899,pLdGf,DD,0,0.27260163391549264,0.23661859936156918
256,0.001,4,6,0,0.7563025210084033,vTHhM,DD,0,0.7253771699292395,0.4298945427476353
256,0.001,1,6,0,0.6722689075630253,xHZzJ,DD,0,0.6686012052187886,0.3616645100640799
256,0.001,4,2,0,0.7983193277310925,HA66K,DD,0,0.862814806536796,0.7809085321487295
256,0.001,1,4,0,0.7310924369747899,ucZOP,DD,0,0.7797758172547646,0.26527926252161094
256,0.001,3,4,0,0.7478991596638656,C3XAR,DD,0,0.3151653885631037,0.4096522678980318
256,0.001,2,3,0,0.7226890756302521,uYVQQ,DD,0,0.4762676873895392,0.7886370221123673
256,0.001,3,5,0,0.7563025210084033,cLQEg,DD,0,0.7826212343385432,0.24765964186777856
256,0.001,3,6,0,0.7563025210084033,YGtgx,DD,0,0.7040205229945627,0.7593803129492347
256,0.001,3,5,0,0.7815126050420168,GHB5D,DD,0,0.8378640165554595,0.267121536011361
256,0.001,1,3,0,0.7394957983193278,hVpxD,DD,0,0.596660435787185,0.30856821418303754
256,0.001,2,4,0,0.8067226890756303,aP06B,DD,0,0.4512598165345886,0.3772187164665794
256,0.001,3,4,0,0.7647058823529411,ZoLQa,DD,0,0.2943265320010398,0.717483770262598
256,0.001,1,5,0,0.6470588235294118,PLEfw,DD,0,0.38770974502584254,0.9942906701805811
256,0.001,3,4,0,0.7983193277310925,ffgST,DD,0,0.851551376980907,0.6122050850492484
256,0.001,2,6,0,0.773109243697479,pVCaT,DD,0,0.4369942534262695,0.6933517254928622
256,0.001,1,3,0,0.7142857142857143,Es3ub,DD,0,0.3690610171276708,0.6368854731981338
256,0.001,1,3,0,0.6470588235294118,rwCAf,DD,0,0.34460770194974355,0.6168146946778164
256,0.001,1,6,0,0.6722689075630253,IRkak,DD,0,0.8296553644229614,0.6120586826084309
256,0.001,1,6,0,0.6722689075630253,HewOM,DD,0,0.36435597981807094,0.5971339711667283
256,0.001,3,5,0,0.7899159663865546,Fqbp0,DD,0,0.6211869224140831,0.6050494567037507
256,0.001,3,5,0,0.8151260504201681,PvZPC,DD,0,0.629422320714901,0.6376998560203125
256,0.001,1,6,0,0.7226890756302521,VQrhj,DD,0,0.8299491653354609,0.6651442944551688
256,0.001,1,6,0,0.7394957983193278,zH9K9,DD,0,0.8161943862196395,0.6099791848386806
256,0.001,4,6,0,0.7647058823529411,OWc8u,DD,0,0.8458304987966351,0.5891196953691353
256,0.001,4,6,0,0.7899159663865546,ur3iF,DD,0,0.7750587367543696,0.6018328110357553
256,0.001,4,6,0,0.7815126050420168,crYZt,DD,0,0.8107437037432634,0.6309712857454565
256,0.001,4,6,0,0.8067226890756303,KLIo6,DD,0,0.897783688707606,0.5744649757558289
256,0.001,4,6,0,0.773109243697479,ks56L,DD,0,0.8293274401079006,0.5707774730407107
256,0.001,4,6,0,0.7478991596638656,zXigP,DD,0,0.6161777298367476,0.6120316030659956
256,0.001,3,5,0,0.773109243697479,ANyjX,DD,0,0.6072857615341182,0.6336409447234734
256,0.001,3,5,0,0.773109243697479,xjHfx,DD,0,0.6435162462744967,0.3401883737098991
256,0.001,1,6,0,0.5798319327731093,WP7ul,DD,0,0.2076938151419801,0.6108757780760732
256,0.001,4,3,0,0.7647058823529411,vh4hk,DD,0,0.8967486673351961,0.5826273004770355
256,0.001,2,4,0,0.7563025210084033,xIh2j,DD,0,0.19403600078309474,0.32694414572190794
