K,pooling_ratio,edge_ratio,reward,id,dataset,lr,dropout_ratio,num_layers,batch_size,weight_decay
3,0.21825644223203175,0.9863299398251222,0.8214285714285714,Rul2V,PROTEINS,0.001,0.11747013809512924,6,64,0
3,0.8825114929753943,0.9798267405027017,0.8035714285714286,qkg3p,PROTEINS,0.001,0.13079097167598477,6,64,0
3,0.19805224050221718,0.7962742597381423,0.8125,XV765,PROTEINS,0.001,0.24309550848368702,6,64,0
3,0.21470705319614625,0.9822192911607343,0.8125,sObnM,PROTEINS,0.001,0.23170097381973948,6,64,0
3,0.21607758984943637,0.7973318965319122,0.8035714285714286,Q2VDE,PROTEINS,0.001,0.11224496292348138,6,64,0
3,0.19200821245878574,0.9848717220470374,0.8214285714285714,GdhZg,PROTEINS,0.001,0.22334621816676517,6,64,0
3,0.36752991520038447,0.802764519482239,0.8214285714285714,GrTTL,PROTEINS,0.001,0.23998336263043035,6,64,0
3,0.19750674893030057,0.7547472339758675,0.7678571428571429,kbKxL,PROTEINS,0.001,0.12125710455480135,6,64,0
3,0.21146123202510891,0.7426659246842258,0.8571428571428571,dO53t,PROTEINS,0.001,0.11367962887346539,6,64,0
3,0.1938340060369395,0.8466530995086176,0.8035714285714286,LbWZC,PROTEINS,0.001,0.10562681985316458,6,64,0
3,0.21658101166703234,0.8040724390118766,0.8482142857142857,kMNEH,PROTEINS,0.001,0.23497499879725736,6,64,0
3,0.20944445741858797,0.748155640931921,0.8125,QcyYw,PROTEINS,0.001,0.10772673783096695,6,64,0
3,0.21457635835040267,0.976303267025984,0.8303571428571429,hVhzm,PROTEINS,0.001,0.2252578864352293,5,64,0
3,0.21311505300701444,0.9900179169680032,0.8482142857142857,c3pIj,PROTEINS,0.001,0.12097509642112372,6,64,0
3,0.1912038022065068,0.981244904689224,0.8035714285714286,fY0Tn,PROTEINS,0.001,0.10614322485580957,6,64,0
3,0.5313553275810765,0.7535469595821358,0.8125,WoCPj,PROTEINS,0.001,0.09865088834432029,6,64,0
3,0.21944970790551077,0.8273495179340332,0.875,Svq0d,PROTEINS,0.001,0.30481378611837157,5,64,0
3,0.1891856692661043,0.9862377394979123,0.8214285714285714,FmWfW,PROTEINS,0.001,0.10041388138999138,6,64,0
3,0.19063925235580956,0.7444273608145525,0.8482142857142857,wcIOc,PROTEINS,0.001,0.1259992105413985,6,64,0
3,0.20198075522957099,0.7424278455705837,0.8392857142857143,LUB5O,PROTEINS,0.001,0.2367058433277365,6,64,0
3,0.19591621666038406,0.8043468904591783,0.8392857142857143,GfUu1,PROTEINS,0.001,0.10443112528831328,5,64,0
3,0.5310701551312276,0.9831393385063681,0.8214285714285714,nULtP,PROTEINS,0.001,0.10576942388105312,6,64,0
4,0.5289991917278473,0.7455555018297376,0.8214285714285714,fMsDc,PROTEINS,0.001,0.10134280559878764,2,64,0
4,0.19757938232840327,0.8826769418271158,0.7767857142857143,WyIPc,PROTEINS,0.001,0.2988837578330145,6,64,0
4,0.16945689622513643,0.8019322825325101,0.7767857142857143,QBMpN,PROTEINS,0.001,0.5706108354366036,6,64,0
