id,weight_decay,batch_size,reward,dataset,dropout_ratio,lr,edge_ratio,pooling_ratio,num_layers,K
g1968,0,256,0.7632850241545893,NCI109,0,0.001,0.8656799273285678,0.15068744734545217,2,4
jSVkn,0,256,0.8091787439613527,NCI109,0,0.001,0.3053958744912552,0.7386896500184477,3,3
gC0tZ,0,256,0.7753623188405797,NCI109,0,0.001,0.5907862747228247,0.23407225869895099,2,3
piwPr,0,256,0.751207729468599,NCI109,0,0.001,0.49160957128438654,0.7970524025681983,3,3
NTzeP,0,256,0.7753623188405797,NCI109,0,0.001,0.42196547867924333,0.5733832974834525,3,2
hV7PF,0,256,0.7318840579710145,NCI109,0,0.001,0.7068293428368142,0.32828072607300013,5,3
DeKti,0,256,0.7681159420289855,NCI109,0,0.001,0.7016912386909686,0.2692002991419987,2,3
ahX9A,0,256,0.6884057971014492,NCI109,0,0.001,0.7144249753557337,0.13350862054922832,3,2
UtqtZ,0,256,0.782608695652174,NCI109,0,0.001,0.23740112357041332,0.897445649683311,3,3
smBhL,0,256,0.7753623188405797,NCI109,0,0.001,0.21631807151545202,0.6509198259339347,6,3
emvzX,0,256,0.7777777777777778,NCI109,0,0.001,0.2220799599890531,0.6362243818005271,3,3
hXAeM,0,256,0.7777777777777778,NCI109,0,0.001,0.20673899392015968,0.6448258523095194,3,3
VRNQz,0,256,0.7536231884057971,NCI109,0,0.001,0.20339175266113538,0.6801420683421552,3,3
aFVcP,0,256,0.782608695652174,NCI109,0,0.001,0.31380122660813864,0.6456009944710706,3,3
cCmQt,0,256,0.785024154589372,NCI109,0,0.001,0.3064353297463184,0.6337256486259427,6,3
hder6,0,256,0.7536231884057971,NCI109,0,0.001,0.33750744762087614,0.6439892929841652,6,3
Zv8Wp,0,256,0.7777777777777778,NCI109,0,0.001,0.3154838127333336,0.6536035181027475,6,3
TY5wY,0,256,0.7995169082125604,NCI109,0,0.001,0.3134977407535075,0.6444328339280517,6,3
SPeFq,0,256,0.7657004830917874,NCI109,0,0.001,0.311504874571975,0.6788824271024142,3,3
mR4pJ,0,256,0.7705314009661836,NCI109,0,0.001,0.31183734497970095,0.6697406342917482,3,3
eVPzH,0,256,0.7632850241545893,NCI109,0,0.001,0.31165482240949915,0.6745698936977863,3,3
ADlDs,0,256,0.7922705314009661,NCI109,0,0.001,0.3001113544120029,0.6338954934846488,6,3
uitdG,0,256,0.7777777777777778,NCI109,0,0.001,0.3088161435712124,0.5992179013252262,6,3
pF8gX,0,256,0.7922705314009661,NCI109,0,0.001,0.3307453054457473,0.6093474932112408,6,3
UuAEQ,0,256,0.751207729468599,NCI109,0,0.001,0.30624414087296975,0.5926716777537508,6,3
uDosD,0,256,0.7898550724637681,NCI109,0,0.001,0.3028572484532187,0.7090467803239484,6,3
CKrnu,0,256,0.751207729468599,NCI109,0,0.001,0.30368877850142983,0.8556125621593544,6,3
bjL52,0,256,0.7657004830917874,NCI109,0,0.001,0.3132371759124417,0.6173818946077361,3,3
zrIIo,0,256,0.7681159420289855,NCI109,0,0.001,0.9807743212171934,0.8629665405506545,6,3
UKBUF,0,256,0.8067632850241546,NCI109,0,0.001,0.45267641128396485,0.8605543946985974,6,3
ln4I3,0,256,0.7898550724637681,NCI109,0,0.001,0.4433520662182945,0.858122564158537,6,3
Suept,0,256,0.7729468599033816,NCI109,0,0.001,0.4309083253033253,0.849690571832885,3,3
AsokT,0,256,0.7801932367149759,NCI109,0,0.001,0.45043002177138797,0.8604887463596493,6,4
OOTfA,0,256,0.7753623188405797,NCI109,0,0.001,0.8459013445024368,0.8552669048323067,6,4
JTyov,0,256,0.8019323671497585,NCI109,0,0.001,0.4287374287709186,0.8546489165562096,6,4
FlmD7,0,256,0.8019323671497585,NCI109,0,0.001,0.99461776370002,0.8563718117287935,4,4
tzJ2o,0,256,0.782608695652174,NCI109,0,0.001,0.441201475076346,0.8581574567915228,4,4
utZwe,0,256,0.7995169082125604,NCI109,0,0.001,0.9837713475810881,0.8391995067959329,4,4
pFvNF,0,256,0.7898550724637681,NCI109,0,0.001,0.815071563290537,0.8553756167934778,4,4
irowS,0,256,0.8019323671497585,NCI109,0,0.001,0.44889696986986516,0.8667536484932761,4,4
tPP3X,0,256,0.821256038647343,NCI109,0,0.001,0.43613286095530035,0.8437253112627748,4,4
pMzCm,0,256,0.7898550724637681,NCI109,0,0.001,0.44665722309654154,0.8619159197334236,4,4
iS6Go,0,256,0.8043478260869565,NCI109,0,0.001,0.8396318804351175,0.8547761983100168,4,4
SZPw8,0,256,0.8067632850241546,NCI109,0,0.001,0.8269525644699807,0.8723144103133983,4,4
fYFaX,0,256,0.7922705314009661,NCI109,0,0.001,0.9577335850611401,0.7289912046008838,4,4
RfciG,0,256,0.8188405797101449,NCI109,0,0.001,0.9759989018945076,0.8621853841255191,4,4
yjW01,0,256,0.7584541062801933,NCI109,0,0.001,0.5580418150319967,0.7229074622632612,2,4
UV1g9,0,256,0.782608695652174,NCI109,0,0.001,0.5514220976843233,0.7359993157256131,2,4
NDDue,0,256,0.7729468599033816,NCI109,0,0.001,0.844839117131408,0.7444492055525453,2,4
wBmC7,0,256,0.6280193236714976,NCI109,0,0.001,0.5535378022095727,0.8095602535862928,2,1
