K,conv,pooling_edges,seed,decoupled,reward,id,pool,dataset,pooling_nodes,num_layers
3,LiCheb,1,88,FALSE,0.754022989,qZnFL,LookHops,Mutagenicity,0.9,5
3,LiCheb,1,99,FALSE,0.786206897,zF72W,LookHops,Mutagenicity,0.9,5
3,LiCheb,1,110,FALSE,0.809195402,BaCKN,LookHops,Mutagenicity,0.9,5
3,LiCheb,1,11,FALSE,0.739659367,myxuO,LookHops,NCI1,0.9,5
3,LiCheb,1,22,FALSE,0.783454988,Oel5u,LookHops,NCI1,0.9,5
3,LiCheb,1,33,FALSE,0.776155718,pugw0,LookHops,NCI1,0.9,5
3,LiCheb,1,44,FALSE,0.734793187,QHj1T,LookHops,NCI1,0.9,5
3,LiCheb,1,55,FALSE,0.778588808,SE6WE,LookHops,NCI1,0.9,5
3,LiCheb,1,66,FALSE,0.749391727,oySD3,LookHops,NCI1,0.9,5
3,LiCheb,1,77,FALSE,0.737226277,Rr822,LookHops,NCI1,0.9,5
3,LiCheb,1,88,FALSE,0.781021898,HNApm,LookHops,NCI1,0.9,5
3,LiCheb,1,99,FALSE,0.690997567,iS4Jf,LookHops,NCI1,0.9,5
3,LiCheb,1,110,FALSE,0.793187348,imZlm,LookHops,NCI1,0.9,5
3,LiCheb,1,11,FALSE,0.722222222,cpx2I,LookHops,NCI109,0.9,5
3,LiCheb,1,55,FALSE,0.739130435,rm9PW,LookHops,NCI109,0.9,5
3,LiCheb,1,66,FALSE,0.782608696,LMJcO,LookHops,NCI109,0.9,5
3,LiCheb,1,77,FALSE,0.739130435,AXTj3,LookHops,NCI109,0.9,5
3,LiCheb,1,88,FALSE,0.765700483,ip7Ns,LookHops,NCI109,0.9,5
3,LiCheb,1,99,FALSE,0.785024155,dsmTA,LookHops,NCI109,0.9,5
3,LiCheb,1,110,FALSE,0.731884058,jIKmh,LookHops,NCI109,0.9,5
3,LiCheb,1,22,FALSE,0.72705314,RGesQ,LookHops,NCI109,0.9,5
3,LiCheb,1,33,FALSE,0.77294686,nSQFQ,LookHops,NCI109,0.9,5
3,LiCheb,1,44,FALSE,0.777777778,Dvb37,LookHops,NCI109,0.9,5
3,LiCheb,1,11,FALSE,0.758928571,VpGBD,LookHops,PROTEINS,0.6,5
3,LiCheb,1,22,FALSE,0.741071429,Pv5On,LookHops,PROTEINS,0.6,5
3,LiCheb,1,33,FALSE,0.696428571,mN9r8,LookHops,PROTEINS,0.6,5
3,LiCheb,1,44,FALSE,0.714285714,vQwEU,LookHops,PROTEINS,0.6,5
3,LiCheb,1,55,FALSE,0.75,Kl829,LookHops,PROTEINS,0.6,5
3,LiCheb,1,66,FALSE,0.803571429,KpGC9,LookHops,PROTEINS,0.6,5
3,LiCheb,1,77,FALSE,0.830357143,SpupV,LookHops,PROTEINS,0.6,5
3,LiCheb,1,88,FALSE,0.723214286,dcJAu,LookHops,PROTEINS,0.6,5
3,LiCheb,1,99,FALSE,0.696428571,OiNp0,LookHops,PROTEINS,0.6,5
3,LiCheb,1,110,FALSE,0.633928571,e9RZN,LookHops,PROTEINS,0.6,5
