decoupled,reward,seed,num_layers,K,pool,pooling_edges,id,dataset,conv,pooling_nodes
False,0.7394957983193278,99,5,3,LookHops,0.8,YSuFK,DD,LiCheb,0.8
False,0.7367149758454107,11,5,3,LookHops,0.9,EYEAO,NCI109,LiCheb,0.9
False,0.7198067632850241,22,5,3,LookHops,0.9,WVGw7,NCI109,LiCheb,0.9
False,0.7536231884057971,33,5,3,LookHops,0.9,O7Td5,NCI109,LiCheb,0.9
False,0.8067632850241546,44,5,3,LookHops,0.9,xJOno,NCI109,LiCheb,0.9
False,0.8091954022988506,55,5,3,LookHops,0.9,QSS1c,Mutagenicity,LiCheb,0.9
False,0.7977011494252874,66,5,3,LookHops,0.9,dkOHR,Mutagenicity,LiCheb,0.9
False,0.7839080459770115,77,5,3,LookHops,0.9,Fqpt9,Mutagenicity,LiCheb,0.9
False,0.7586206896551724,88,5,3,LookHops,0.9,sarWQ,Mutagenicity,LiCheb,0.9
False,0.7724137931034483,99,5,3,LookHops,0.9,R6zq4,Mutagenicity,LiCheb,0.9
False,0.7908045977011494,110,5,3,LookHops,0.9,XGQ00,Mutagenicity,LiCheb,0.9
False,0.6367816091954023,66,5,3,LookHops,0.9,ATpZw,FRANKENSTEIN,LiCheb,0.9
False,0.6298850574712643,77,5,3,LookHops,0.9,mymYj,FRANKENSTEIN,LiCheb,0.9
False,0.6436781609195402,99,5,3,LookHops,0.9,nguCT,FRANKENSTEIN,LiCheb,0.9
False,0.7394957983193278,77,5,3,LookHops,0.8,NcEDB,DD,LiCheb,0.8
