decoupled,pooling_nodes,K,pool,id,pooling_edges,conv,seed,num_layers,dataset,reward
FALSE,0.9,3,LookHops,e9BGi,1,LiCheb,22,5,Mutagenicity,0.827586207
FALSE,0.9,3,LookHops,iVVQW,1,LiCheb,33,5,Mutagenicity,0.770114943
FALSE,0.9,3,LookHops,iTYSJ,1,LiCheb,44,5,Mutagenicity,0.852873563
FALSE,0.9,3,LookHops,Mq8x1,1,LiCheb,55,5,Mutagenicity,0.816091954
FALSE,0.9,3,LookHops,iNAxr,1,LiCheb,66,5,Mutagenicity,0.795402299
FALSE,0.9,3,LookHops,XdL77,1,LiCheb,77,5,Mutagenicity,0.84137931
FALSE,0.9,3,LookHops,jHkwM,1,LiCheb,88,5,Mutagenicity,0.786206897
FALSE,0.9,3,LookHops,sMmur,1,LiCheb,99,5,Mutagenicity,0.802298851
FALSE,0.9,3,LookHops,ZYuBn,1,LiCheb,110,5,Mutagenicity,0.793103448
FALSE,0.9,3,LookHops,mgkLD,1,LiCheb,11,5,NCI1,0.761557178
FALSE,0.9,3,LookHops,y7bpT,1,LiCheb,22,5,NCI1,0.771289538
FALSE,0.9,3,LookHops,rAYi2,1,LiCheb,33,5,NCI1,0.754257908
FALSE,0.9,3,LookHops,oNa5a,1,LiCheb,44,5,NCI1,0.788321168
FALSE,0.9,3,LookHops,yRPen,1,LiCheb,55,5,NCI1,0.800486618
FALSE,0.9,3,LookHops,TmXWi,1,LiCheb,66,5,NCI1,0.800486618
FALSE,0.9,3,LookHops,btxre,1,LiCheb,77,5,NCI1,0.788321168
FALSE,0.9,3,LookHops,ZYCIM,1,LiCheb,88,5,NCI1,0.725060827
FALSE,0.9,3,LookHops,DJFgu,1,LiCheb,99,5,NCI1,0.771289538
FALSE,0.9,3,LookHops,mCv1w,1,LiCheb,110,5,NCI1,0.785888078
FALSE,0.9,3,LookHops,hcfgd,1,LiCheb,22,5,NCI109,0.751207729
FALSE,0.9,3,LookHops,XNE9c,1,LiCheb,33,5,NCI109,0.748792271
FALSE,0.9,3,LookHops,ZlgHr,1,LiCheb,44,5,NCI109,0.79468599
FALSE,0.9,3,LookHops,Qu13e,1,LiCheb,55,5,NCI109,0.734299517
FALSE,0.9,3,LookHops,JGBY6,1,LiCheb,66,5,NCI109,0.743961353
FALSE,0.9,3,LookHops,AefAK,1,LiCheb,77,5,NCI109,0.717391304
FALSE,0.9,3,LookHops,zkEDt,1,LiCheb,88,5,NCI109,0.792270531
FALSE,0.9,3,LookHops,yDxmk,1,LiCheb,99,5,NCI109,0.782608696
FALSE,0.9,3,LookHops,YAdsd,1,LiCheb,110,5,NCI109,0.768115942
FALSE,0.9,3,LookHops,dAaZA,1,LiCheb,11,5,NCI109,0.717391304
FALSE,0.6,3,LookHops,lKKWa,1,LiCheb,11,5,PROTEINS,0.714285714
FALSE,0.6,3,LookHops,WPe2i,1,LiCheb,22,5,PROTEINS,0.678571429
FALSE,0.6,3,LookHops,U84qV,1,LiCheb,33,5,PROTEINS,0.732142857
FALSE,0.6,3,LookHops,heB3k,1,LiCheb,44,5,PROTEINS,0.741071429
FALSE,0.6,3,LookHops,DQoP5,1,LiCheb,55,5,PROTEINS,0.776785714
FALSE,0.6,3,LookHops,B53JO,1,LiCheb,66,5,PROTEINS,0.839285714
FALSE,0.6,3,LookHops,o7bXr,1,LiCheb,77,5,PROTEINS,0.794642857
FALSE,0.6,3,LookHops,Kmqyr,1,LiCheb,88,5,PROTEINS,0.75
FALSE,0.6,3,LookHops,Pd4Oz,1,LiCheb,99,5,PROTEINS,0.732142857
FALSE,0.6,3,LookHops,HedOI,1,LiCheb,110,5,PROTEINS,0.678571429
