pooling_ratio,num_layers,dataset,dropout_ratio,weight_decay,K,lr,batch_size,edge_ratio,reward,id
0.6354497383658747,6,FRANKENSTEIN,0,0,1,0.001,256,0.7121578427136397,0.5816091954022988,pHhgH
0.6872165361859526,4,FRANKENSTEIN,0,0,2,0.001,256,0.6084542013437282,0.6367816091954023,NQx8u
0.4959086868536785,4,FRANKENSTEIN,0,0,2,0.001,256,0.9551462546250338,0.6620689655172414,M2gUf
0.13631356984918838,6,FRANKENSTEIN,0,0,4,0.001,256,0.5792895807402423,0.6505747126436782,M9CGE
0.15416487533111933,3,FRANKENSTEIN,0,0,1,0.001,256,0.8025022841318912,0.5908045977011495,vvs59
0.6228419192467675,5,FRANKENSTEIN,0,0,1,0.001,256,0.4186241496791492,0.5701149425287356,f8OtM
0.7639776477442776,4,FRANKENSTEIN,0,0,1,0.001,256,0.6309693887738215,0.5977011494252874,Q6WOE
0.6129331150914649,3,FRANKENSTEIN,0,0,4,0.001,256,0.9973917162722474,0.6804597701149425,PxpEY
0.6902216676257825,4,FRANKENSTEIN,0,0,1,0.001,256,0.7429493569027099,0.5816091954022988,iQEjK
0.7925001250595843,6,FRANKENSTEIN,0,0,4,0.001,256,0.48538912201520035,0.6896551724137931,DNu8n
0.2935500885586897,5,FRANKENSTEIN,0,0,3,0.001,256,0.4492398308270804,0.664367816091954,CXgUC
0.5172625625767455,6,FRANKENSTEIN,0,0,2,0.001,256,0.8549363817659286,0.6482758620689655,CYOvI
0.45177275495047536,6,FRANKENSTEIN,0,0,2,0.001,256,0.8388455482932354,0.6551724137931034,MoZf5
0.46114750572447694,6,FRANKENSTEIN,0,0,2,0.001,256,0.8346985951599311,0.6551724137931034,jyBo8
0.5223475167869659,6,FRANKENSTEIN,0,0,2,0.001,256,0.8184369143065495,0.6551724137931034,P3xa0
0.4518821978078024,6,FRANKENSTEIN,0,0,4,0.001,256,0.8534232544519506,0.6344827586206897,zMx7L
0.4920443768667751,6,FRANKENSTEIN,0,0,2,0.001,256,0.37986365223937235,0.6505747126436782,mFx3x
0.46670252792031425,6,FRANKENSTEIN,0,0,4,0.001,256,0.881457519911204,0.632183908045977,eiFMA
0.46107192246326906,3,FRANKENSTEIN,0,0,4,0.001,256,0.8516702094450107,0.6804597701149425,Mb8dJ
0.4552420401483585,3,FRANKENSTEIN,0,0,4,0.001,256,0.8843006156162598,0.6689655172413793,ki78h
0.46311629594519144,3,FRANKENSTEIN,0,0,4,0.001,256,0.8910568062491806,0.6781609195402298,Lwb63
0.4783936492052666,3,FRANKENSTEIN,0,0,4,0.001,256,0.8660276736885926,0.664367816091954,yi62R
0.47988028890290935,3,FRANKENSTEIN,0,0,4,0.001,256,0.8766803659780306,0.6206896551724138,FHbh5
0.45758549308116003,3,FRANKENSTEIN,0,0,4,0.001,256,0.8828780816944775,0.6781609195402298,CAshl
0.4929236895495389,3,FRANKENSTEIN,0,0,4,0.001,256,0.887329776030744,0.6781609195402298,GCv6x
0.42926795549110464,3,FRANKENSTEIN,0,0,4,0.001,256,0.894051760789382,0.6528735632183909,oRqHe
