dataset,pooling_ratio,batch_size,lr,weight_decay,id,reward,num_layers,dropout_ratio,K
PROTEINS,0.8527915354092669,64,0.001,0,j0s8Q,0.7321428571428571,4,0.3530161512084497,2
PROTEINS,0.3883906122494015,64,0.001,0,Q1wsh,0.7857142857142857,5,0.46378032472972636,2
PROTEINS,0.5274763851268295,64,0.001,0.001,xI3Sj,0.8303571428571429,4,0.7865930879097313,4
PROTEINS,0.20851151138690113,64,0.001,0.001,ZQoTd,0.8214285714285714,2,0.09761885530599985,4
PROTEINS,0.11409828911483055,64,0.001,0.001,yc6Mh,0.8035714285714286,5,0.8027380599218598,3
PROTEINS,0.4147941379714576,64,0.001,0,Jtzae,0.8125,5,0.6269561179120356,4
PROTEINS,0.8698587210551557,64,0.001,0.0001,FEIOf,0.8035714285714286,2,0.6082731983092313,1
PROTEINS,0.423655009009007,64,0.001,0,xoluS,0.8125,3,0.8920785052798343,1
PROTEINS,0.5853199472485976,64,0.001,0.0001,bZPlP,0.8303571428571429,4,0.7969996179299184,1
PROTEINS,0.40988748558319443,64,0.001,0,NpCll,0.7767857142857143,5,0.4214871577171806,4
PROTEINS,0.77679581995288,64,0.001,0.001,F1RU2,0.8392857142857143,3,0.6592890496280006,4
PROTEINS,0.7760979464171481,64,0.001,0.001,oK6Qb,0.8125,3,0.7149067457437529,1
PROTEINS,0.6080714716951412,64,0.001,0,CTtBa,0.8392857142857143,3,0.5272170344866605,1
PROTEINS,0.8323817726691642,64,0.001,0.0001,kDeu7,0.8214285714285714,3,0.33046235948161645,4
PROTEINS,0.2956964828292946,64,0.001,0.001,fid6v,0.7321428571428571,2,0.39382247510872986,1
PROTEINS,0.7943121811947712,64,0.001,0.0001,N4die,0.8125,4,0.5715946259322857,4
PROTEINS,0.30823440883173814,64,0.001,0.001,ayUYX,0.7857142857142857,6,0.6151664333139613,2
PROTEINS,0.8447035768190572,64,0.001,0.001,z1uHK,0.8125,6,0.89944649206546,1
PROTEINS,0.40859573778767244,64,0.001,0.0001,fVbMx,0.8125,2,0.7223246199821439,4
PROTEINS,0.38993371551551237,64,0.001,0.0001,oBK9M,0.7767857142857143,2,0.25641436545820345,2
PROTEINS,0.887346902157767,64,0.001,0.0001,EegHz,0.8125,6,0.5384976295689878,3
PROTEINS,0.8704559832877632,64,0.001,0.0001,uYQvq,0.8035714285714286,5,0.5317536911175529,3
PROTEINS,0.878675408634602,64,0.001,0.0001,d7VA4,0.8125,5,0.5178924255717617,3
