dataset,batch_size,num_layers,id,K,pooling_ratio,weight_decay,dropout_ratio,lr,edge_ratio,reward
ENZYMES,256,4,rM7dQ,1,0.799915408,0,0,0.001,0.5814983902855351,0.6666666666666666
ENZYMES,256,4,zFGUb,1,0.799915408,0,0,0.001,0.5595798400933734,0.65
ENZYMES,256,4,hzIGz,1,0.799915408,0,0,0.001,0.5617440905733424,0.65
ENZYMES,256,4,OgQE2,1,0.799915408,0,0,0.001,0.5620480029258141,0.6833333333333333
ENZYMES,256,4,Yc3yr,1,0.799915408,0,0,0.001,0.5635113669566508,0.6333333333333333
ENZYMES,256,4,G6jgr,1,0.799915408,0,0,0.001,0.5667020301540998,0.6166666666666667
ENZYMES,256,4,UVYqD,1,0.799915408,0,0,0.001,0.5092795603243915,0.5833333333333334
ENZYMES,256,4,rrbyH,1,0.799915408,0,0,0.001,0.5704152122219557,0.5833333333333334
ENZYMES,256,4,mJ4a3,1,0.799915408,0,0,0.001,0.5341607261947032,0.7
ENZYMES,256,4,hAwdk,1,0.799915408,0,0,0.001,0.558882176336208,0.6666666666666666
ENZYMES,256,4,OOyWM,1,0.799915408,0,0,0.001,0.584012301271175,0.6
ENZYMES,256,4,ghLEv,1,0.799915408,0,0,0.001,0.5658828733515754,0.6333333333333333
ENZYMES,256,4,FOEbO,1,0.799915408,0,0,0.001,0.5594631891674504,0.6333333333333333
ENZYMES,256,4,gHDSB,1,0.799915408,0,0,0.001,0.5378089747507202,0.6333333333333333
ENZYMES,256,4,y3Gmx,1,0.799915408,0,0,0.001,0.5700950953157808,0.75
ENZYMES,256,4,bSuJi,1,0.799915408,0,0,0.001,0.5783823756170428,0.5833333333333334
ENZYMES,256,4,NXZnc,1,0.799915408,0,0,0.001,0.561531233197216,0.6333333333333333
ENZYMES,256,4,zaEWa,1,0.799915408,0,0,0.001,0.587417244640197,0.5833333333333334
ENZYMES,256,4,Tncd5,1,0.799915408,0,0,0.001,0.5614135308636538,0.65
ENZYMES,256,4,JneoS,1,0.799915408,0,0,0.001,0.44943287457949604,0.5833333333333334
ENZYMES,256,4,pRCdC,1,0.799915408,0,0,0.001,0.7470490037334048,0.7166666666666667
ENZYMES,256,4,urzgf,1,0.799915408,0,0,0.001,0.4454365783906178,0.6666666666666666
ENZYMES,256,4,p9bQv,1,0.799915408,0,0,0.001,0.7557694419688981,0.6166666666666667
ENZYMES,256,4,UZX9U,1,0.799915408,0,0,0.001,0.7310620490480148,0.6333333333333333
ENZYMES,256,4,ww95b,1,0.799915408,0,0,0.001,0.4387098513099138,0.6666666666666666
ENZYMES,256,4,FO7z8,1,0.799915408,0,0,0.001,0.4434965602300612,0.5833333333333334
ENZYMES,256,4,CDEyQ,1,0.799915408,0,0,0.001,0.7364816905723096,0.6
ENZYMES,256,4,RISYn,1,0.799915408,0,0,0.001,0.9113758818748099,0.6166666666666667
ENZYMES,256,4,OQOhB,1,0.799915408,0,0,0.001,0.4549708668727806,0.5833333333333334
ENZYMES,256,4,iigpj,1,0.799915408,0,0,0.001,0.7319718584347179,0.65
ENZYMES,256,4,lfGby,1,0.799915408,0,0,0.001,0.7371936989700878,0.6666666666666666
ENZYMES,256,4,TST7O,1,0.799915408,0,0,0.001,0.8998911346551972,0.65
ENZYMES,256,4,roooE,1,0.799915408,0,0,0.001,0.7399183015869434,0.6333333333333333
ENZYMES,256,4,BlCXq,1,0.799915408,0,0,0.001,0.7286975600051814,0.5833333333333334
ENZYMES,256,4,wzgs4,1,0.799915408,0,0,0.001,0.7478339450857195,0.6333333333333333
ENZYMES,256,4,bpHfu,1,0.799915408,0,0,0.001,0.7410764030681504,0.65
ENZYMES,256,4,fWuzK,1,0.799915408,0,0,0.001,0.4406937708111026,0.6333333333333333
